# ⚠️ ENGANOSA — anotado el 2026-08-21 20:45, sin tocar el contenido.
# Aqui parece que el canal 2 no acciona. ES FALSO: el canal funcionaba. El
# firmware esperaba el pulso en un bucle VACIO, sin capturar, asi que estaba
# ciego justo mientras la tecla estaba pulsada. Cuando volvia a mirar el bus,
# la tecla ya estaba suelta. Corregido el mismo dia; con la correccion el
# mismo canal responde 0x57 a la primera:
# docs/capturas/2026-08-21-canal2-verificado-0x57.log
# Fecha: 2026-08-21 19:50
# Altura en pantalla: display APAGADO por inactividad
# Estado: escritorio conectado. Los dos cables del pulsador de BAJAR se han
#         INTERCAMBIADO entre las patas 3 y 4 del PC817 del canal 2, para
#         descartar la polaridad del fototransistor.
# Montaje: sonda 9.1k/27k en P18 (rojo, CLK) y P4 (verde, DIO), ESP32 por USB.
#          Canal 2 = PC817 en GPIO26. Canales 1, 3 y 4 con la salida suelta.
# Firmware: desk_sniffer a 115200 (ADR-026), con eco de cada byte recibido.
# Comprobacion previa: se mando 'h' y el sketch respondio. El puerto RECIBE.
# Que se esperaba: si el fallo era la polaridad, ahora deberia salir 0x57.
# QUE PASO: NO. El byte llega ([RX 0x32 '2']), el canal se dispara
#           ([channel 2 -> GPIO26 pulsed 300 ms]), y las 50 lecturas de teclado
#           siguen siendo 4F 17 (reposo). DESCARTADA la polaridad.
#
# Dato aportado por quien lo soldo, el mismo dia: si se UNEN los dos cables
# directamente (cortocircuito), el escritorio SI responde como si se pulsara
# el boton. Es decir: el par de cables es el correcto y un cierre limpio
# acciona. El problema esta en que el PC817 no cierra lo suficiente.
[enviado '2' a los 3.0 s]
et\D,�^�c_drv:0x00
mode:DIO, clock div:1
load:0x3fff0030,len:4876
ho 0 tail 12 room 4
load:0x40078000,len:16532
load:0x40080400,len:3500
entry 0x400805b4

=== desk_sniffer — AiP650E passive bus sniffer ===
CLK=GPIO18 (red)  DIO=GPIO4 (green)  CPU=240 MHz
Burst sampling at 4 MHz, 8000 samples per burst (2 ms).
Read-only. This firmware never drives the bus.

  r  toggle raw transaction dump
  s  print statistics
  c  reset statistics
  l  re-run the line identification check
  h  this help

  1 2 3 4   pulse that actuation channel for 300 ms
            and report which key the control box saw

Identifying lines (recording up to 2 s of traffic)...
  GPIO18 (expected CLK, red)  : 227 edges
  GPIO4 (expected DIO, green): 45 edges
  OK: both lines active, edge counts match the expected wiring.

Listening. Format:
  [time] S <byte><ack> <byte><ack> P | interpretation
  ack: 'a' = acknowledged (low), '-' = line high
  On key reads a '-' on the second byte is normal, not a fault.

[     0.000314] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.000314] >>> DISPLAY: " "
[     0.000631] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.000631] >>> DISPLAY: "  "
[     0.000948] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.000948] >>> DISPLAY: "   "
[     0.001246] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.001246] >>> DISPLAY: "    "
[     0.001562] S 4Fa 17a P  | KEY released/idle
[     0.001562] >>> KEY released/idle
[     0.200129] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.200445] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.200763] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.201061] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.201377] S 4Fa 17a P  | KEY released/idle
[     0.399863] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.400179] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.400478] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.400794] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.401110] S 4Fa 17a P  | KEY released/idle
[     0.599602] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.599918] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.600236] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.600552] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.600869] S 4Fa 17a P  | KEY released/idle
[     0.799375] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.799692] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.800010] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.800326] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.800624] S 4Fa 17a P  | KEY released/idle
[     0.999129] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.999445] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.999763] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     1.000080] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     1.000377] S 4Fa 17a P  | KEY released/idle
[     1.198931] S 68a 00a P  | DIG1 seg=0x00 ' '
[     1.199225] S P  | MALFORMED: 0 byte(s), expected 2
