# ⚠️ INSERVIBLE — anotado el 2026-08-21 19:20, sin tocar el contenido.
# El comando '2' NUNCA llego al sketch: no hay ninguna linea "[channel 2 ->".
# Fue un fallo de recepcion del puerto serie, no del canal. Esta captura no
# dice nada sobre si el canal 2 funciona. Sustituida por
# 2026-08-21-canal2-no-responde.log, donde el comando si llega. Ver ADR-026.
# Fecha: 2026-08-21
# Altura en pantalla: display en blanco al empezar (reposo prolongado)
# Estado: escritorio conectado a la corriente, NADIE toca el mando.
#         El unico estimulo es el canal 2 disparado por el ESP32.
# Montaje: sonda 9.1k/27k en P18 (rojo, CLK) y P4 (verde, DIO), ESP32 por USB.
#          Canal 2 = PC817 en GPIO26, patas 3 y 4 soldadas al pulsador de BAJAR.
#          Canales 1, 3 y 4 con el lado de salida suelto.
# Firmware: desk_sniffer con los 4 canales, compilado con SERIAL_BAUD = 115200.
#           A 921600 el sketch NO recibe comandos por el puerto (medido hoy).
# Que se esperaba: al mandar '2', la caja de control ve una pulsacion de bajar
#           -> "<== CHANNEL 2 answered with 0x57", y el escritorio da un toque
#           hacia abajo de unos milimetros.
] S 68a 00eG"(Y��(���0x00
mode:DIO, clock div:1
load:0x3fff0030,len:4876
ho 0 tail 12 room 4
load:0x40078000,len:16532
load:0x40080400,len:3500
entry 0x400805b4

=== desk_sniffer — AiP650E passive bus sniffer ===
CLK=GPIO18 (red)  DIO=GPIO4 (green)  CPU=240 MHz
Burst sampling at 4 MHz, 8000 samples per burst (2 ms).
Read-only. This firmware never drives the bus.

  r  toggle raw transaction dump
  s  print statistics
  c  reset statistics
  l  re-run the line identification check
  h  this help

  1 2 3 4   pulse that actuation channel for 300 ms
            and report which key the control box saw

Identifying lines (recording up to 2 s of traffic)...
  GPIO18 (expected CLK, red)  : 227 edges
  GPIO4 (expected DIO, green): 45 edges
  OK: both lines active, edge counts match the expected wiring.

Listening. Format:
  [time] S <byte><ack> <byte><ack> P | interpretation
  ack: 'a' = acknowledged (low), '-' = line high
  On key reads a '-' on the second byte is normal, not a fault.

[     0.000296] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.000296] >>> DISPLAY: " "
[     0.000612] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.000612] >>> DISPLAY: "  "
[     0.000930] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.000930] >>> DISPLAY: "   "
[     0.001246] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.001246] >>> DISPLAY: "    "
[     0.001563] S 4Fa 17a P  | KEY released/idle
[     0.001563] >>> KEY released/idle
[     0.200124] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.200440] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.200739] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.201055] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.201372] S 4Fa 17a P  | KEY released/idle
[     0.399918] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.400235] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.400553] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.400850] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.401167] S 4Fa 17a P  | KEY released/idle
[     0.599762] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.600078] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.600377] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.600694] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.601010] S 4Fa 17a P  | KEY released/idle
[     0.799536] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.799852] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.800151] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.800467] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.800783] S 4Fa 17a P  | KEY released/idle
