# ⚠️ ENGANOSA — anotado el 2026-08-21 20:45, sin tocar el contenido.
# Aqui parece que el canal 2 no acciona. ES FALSO: el canal funcionaba. El
# firmware esperaba el pulso en un bucle VACIO, sin capturar, asi que estaba
# ciego justo mientras la tecla estaba pulsada. Cuando volvia a mirar el bus,
# la tecla ya estaba suelta. Corregido el mismo dia; con la correccion el
# mismo canal responde 0x57 a la primera:
# docs/capturas/2026-08-21-canal2-verificado-0x57.log
# Fecha: 2026-08-21 19:05
# Altura en pantalla: display APAGADO por inactividad (los 4 digitos a 0x00)
# Estado: escritorio conectado a la corriente, NADIE toca el mando.
#         El unico estimulo es el canal 2 disparado por el ESP32.
# Montaje: sonda 9.1k/27k en P18 (rojo, CLK) y P4 (verde, DIO), ESP32 por USB.
#          Canal 2 = PC817 en GPIO26, patas 3 y 4 soldadas al pulsador de BAJAR.
#          Canales 1, 3 y 4 con el lado de salida suelto.
# Firmware: desk_sniffer a 115200 con una linea de depuracion temporal que
#           imprime cada byte recibido por el puerto ("[RX 0x..]").
# Que se esperaba: "<== CHANNEL 2 answered with 0x57" y un toque hacia abajo.
# QUE PASO: el byte llego ([RX 0x32 '2']) y el canal se disparo
#           ([channel 2 -> GPIO26 pulsed 300 ms]), pero el bus NO reporto
#           ninguna tecla: las 56 lecturas de teclado son 4F 17 (reposo).
#           Repetido 3 veces mas con el mismo resultado. NO es intermitente.
[enviado '2' a los 3.1 s]
e�JH]�Zˠ�E���0x00
mode:DIO, clock div:1
load:0x3fff0030,len:4876
ho 0 tail 12 room 4
load:0x40078000,len:16532
load:0x40080400,len:3500
entry 0x400805b4

=== desk_sniffer — AiP650E passive bus sniffer ===
CLK=GPIO18 (red)  DIO=GPIO4 (green)  CPU=240 MHz
Burst sampling at 4 MHz, 8000 samples per burst (2 ms).
Read-only. This firmware never drives the bus.

  r  toggle raw transaction dump
  s  print statistics
  c  reset statistics
  l  re-run the line identification check
  h  this help

  1 2 3 4   pulse that actuation channel for 300 ms
            and report which key the control box saw

Identifying lines (recording up to 2 s of traffic)...
  GPIO18 (expected CLK, red)  : 227 edges
  GPIO4 (expected DIO, green): 45 edges
  OK: both lines active, edge counts match the expected wiring.

Listening. Format:
  [time] S <byte><ack> <byte><ack> P | interpretation
  ack: 'a' = acknowledged (low), '-' = line high
  On key reads a '-' on the second byte is normal, not a fault.

[     0.000314] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.000314] >>> DISPLAY: " "
[     0.000631] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.000631] >>> DISPLAY: "  "
[     0.000948] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.000948] >>> DISPLAY: "   "
[     0.001246] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.001246] >>> DISPLAY: "    "
[     0.001562] S 4Fa 17a P  | KEY released/idle
[     0.001562] >>> KEY released/idle
[     0.200136] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.200452] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.200770] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.201067] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.201383] S 4Fa 17a P  | KEY released/idle
[     0.399900] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.400217] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.400516] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.400832] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.401148] S 4Fa 17a P  | KEY released/idle
[     0.599677] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.599993] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.600311] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.600627] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.600944] S 4Fa 17a P  | KEY released/idle
[     0.799486] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.799802] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.800120] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.800436] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.800734] S 4Fa 17a P  | KEY released/idle
[     0.999235] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.999552] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.999869] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     1.000186] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     1.000484] S 4Fa 17a P  | KEY released/idle
