# Fecha: 2026-08-22
# Altura en pantalla: 117 al empezar, 73 al terminar
# Estado: escritorio conectado, BAJO SUPERVISION (ADR-028). Nadie toca el mando
#         en ningun momento: todo el movimiento lo ordena el ESP32.
# Montaje: sonda 9.1k/27k en P18 (rojo, CLK) y P4 (verde, DIO), ESP32 por USB.
#          Los CUATRO canales cableados: 1=subir(GPIO27), 2=bajar(GPIO26),
#          3=memoria 80(GPIO25), 4=memoria 117(GPIO33). Reset SIN cablear.
# Firmware: desk_sniffer a 115200 (ADR-026), toques de 800 ms (ADR-027),
#           pulso largo de 2800 ms en A/B/C/D (ADR-028).
# Comprobacion previa: el display estaba dormido; un toque lo desperto.
# Que se esperaba: recorrer seis tramos en lazo cerrado, frenando por altura
#           leida del bus, sin intervencion humana.
# QUE PASO: los seis, sin un fallo. Traza:
#
#   [  7.1s] altura inicial: 117 cm
#   [ 72.3s] 1. bajar del todo    -> 73 cm  (tope alcanzado)
#   [ 86.4s] 2. subir a 80        -> 80 cm  (freno en 79 + ajuste)
#   [ 97.4s] 3. bajar a 75        -> 75 cm  (freno en 76 + ajuste)
#   [162.7s] 4. subir del todo    -> 118 cm (tope alcanzado)
#   [195.8s] 5. parar a media altura -> 95 cm (freno en 96 + ajuste)
#   [237.5s] 6. bajar del todo    -> 73 cm  (tope alcanzado)
#   [239.0s] FIN. COMPLETA
#
# VELOCIDAD MEDIDA: 0.68 cm/s, igual en los dos sentidos.
#   bajando 44 cm en 65 s; subiendo 43 cm en 64 s.
#
# Las tres frenadas por altura acertaron el objetivo exacto: se frena 1 cm
# antes por la inercia y se ajusta con toques de 800 ms.
#
# Lo que sigue es el volcado CRUDO del bus durante los 239 s. Se guarda entero
# porque las dos pruebas de movimiento del 2026-08-21 solo dejaron la traza de
# alturas, no el log, y eso incumplia la politica de capturas.
RË∏Å´<A	ã}ë…ŸÈ0x00,wp_drv:0x00
mode:DIO, clock div:1
load:0x3fff0030,len:4876
ho 0 tail 12 room 4
load:0x40078000,len:16532
load:0x40080400,len:3500
entry 0x400805b4

=== desk_sniffer ‚Äî AiP650E passive bus sniffer ===
CLK=GPIO18 (red)  DIO=GPIO4 (green)  CPU=240 MHz
Burst sampling at 4 MHz, 8000 samples per burst (2 ms).
Read-only. This firmware never drives the bus.

  r  toggle raw transaction dump
  s  print statistics
  c  reset statistics
  l  re-run the line identification check
  h  this help

  1 2 3 4   pulse that actuation channel for 300 ms
            and report which key the control box saw

Identifying lines (recording up to 2 s of traffic)...
  GPIO18 (expected CLK, red)  : 227 edges
  GPIO4 (expected DIO, green): 45 edges
  OK: both lines active, edge counts match the expected wiring.

Listening. Format:
  [time] S <byte><ack> <byte><ack> P | interpretation
  ack: 'a' = acknowledged (low), '-' = line high
  On key reads a '-' on the second byte is normal, not a fault.

[     0.000315] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.000315] >>> DISPLAY: " "
[     0.000631] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.000631] >>> DISPLAY: "  "
[     0.000949] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.000949] >>> DISPLAY: "   "
[     0.001265] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.001265] >>> DISPLAY: "    "
[     0.001562] S 4Fa 2Fa P  | KEY released/idle
[     0.001562] >>> KEY released/idle
[     0.200078] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.200394] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.200693] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.201009] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.201325] S 4Fa 2Fa P  | KEY released/idle
[     0.399781] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.400098] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.400415] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.400732] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.401029] S 4Fa 2Fa P  | KEY released/idle
[     0.599509] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.599825] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.600143] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.600459] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.600775] S 4Fa 2Fa P  | KEY released/idle
[     0.799239] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.799556] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.799854] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.800171] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.800487] S 4Fa 2Fa P  | KEY released/idle
[     0.999003] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.999300] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.999618] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.999934] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     1.000251] S 4Fa 2Fa P  | KEY released/idle
[     1.198727] S 68a 00a P  | DIG1 seg=0x00 ' '
[     1.199044] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     1.199342] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     1.199658] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     1.199975] S 4Fa 2Fa P  | KEY released/idle
[     1.398456] S 68a 00a P  | DIG1 seg=0x00 ' '
