# Fecha: 2026-08-22
# Altura en pantalla: display APAGADO (escritorio quieto a 117 cm)
# Estado: escritorio conectado, nadie toca el mando. Bus en reposo.
# Montaje: sonda 9.1k/27k en P18 (rojo, CLK) y P4 (verde, DIO), ESP32 por USB.
# Firmware: DOS corridas de 60 s, identicas salvo la radio:
#   A) desk_sniffer                -- WiFi apagado (referencia)
#   B) test_wifi_impact            -- WiFi en modo AP ("desk-sniffer-test")
# Que se esperaba: saber si encender la radio degrada la captura. El sniffer
#   muestrea a 4 MHz con las interrupciones apagadas 2 ms por rafaga, y el
#   stack de WiFi necesita CPU. Esta placa YA se colgo dos veces el 2026-08-03
#   por saturacion de interrupciones. Toda la fase 4 depende de la respuesta.
#
# RESULTADO -- VERIFICADO: la radio NO degrada la captura.
#
#   Metrica            sin WiFi      con WiFi
#   -----------------  ----------    ----------
#   rafagas            299           298
#   flancos            81538         81249
#   muestras tardias   15            17
#   transacciones      1502          1499
#   malformadas        10 (0.67%)    14 (0.93%)
#   cortadas x rafaga  0             0
#   reloj mas rapido   137 kHz       137 kHz
#   histograma         limpio        limpio
#
# La diferencia en malformadas cae dentro del ruido de fondo ya documentado
# (~0.8%, ver BITACORA 2026-08-06). No hubo cuelgues ni reinicios.
#
# COSTE: el programa pasa del 21% al 67% de la flash, y la RAM del 9% al 16%.
#
# LIMITE DE ESTA MEDICION -- SUPUESTO, NO VERIFICADO: modo AP sin ningun
#   cliente conectado es el caso mas suave. Falta medir en modo STA, asociado
#   a una red real y con trafico (MQTT publicando). No se puede dar por hecho
#   que el resultado sea el mismo.
#
# Sigue el volcado de las dos corridas: primero SIN WiFi, luego CON WiFi.

########## A) SIN WIFI ##########
[enviado 's' a los 60.1 s]
1] S 68a 06��[   250.684630��J�,�1)��b��}����0x00
mode:DIO, clock div:1
load:0x3fff0030,len:4876
ho 0 tail 12 room 4
load:0x40078000,len:16532
load:0x40080400,len:3500
entry 0x400805b4

=== desk_sniffer — AiP650E passive bus sniffer ===
CLK=GPIO18 (red)  DIO=GPIO4 (green)  CPU=240 MHz
Burst sampling at 4 MHz, 8000 samples per burst (2 ms).
Read-only. This firmware never drives the bus.

  r  toggle raw transaction dump
  s  print statistics
  c  reset statistics
  l  re-run the line identification check
  h  this help

  1 2 3 4   pulse that actuation channel for 300 ms
            and report which key the control box saw

Identifying lines (recording up to 2 s of traffic)...
  GPIO18 (expected CLK, red)  : 227 edges
  GPIO4 (expected DIO, green): 47 edges
  OK: both lines active, edge counts match the expected wiring.

Listening. Format:
  [time] S <byte><ack> <byte><ack> P | interpretation
  ack: 'a' = acknowledged (low), '-' = line high
  On key reads a '-' on the second byte is normal, not a fault.

[     0.000314] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.000314] >>> DISPLAY: " "
[     0.000630] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.000630] >>> DISPLAY: "  "
[     0.000929] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.000929] >>> DISPLAY: "   "
[     0.001245] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.001245] >>> DISPLAY: "    "
[     0.001561] S 4Fa 2Fa P  | KEY released/idle
[     0.001561] >>> KEY released/idle
[     0.199957] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.200254] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.200571] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.200887] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.201203] S 4Fa 2Fa P  | KEY released/idle
[     0.399545] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.399861] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.400159] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.400476] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.400792] S 4Fa 2Fa P  | KEY released/idle
[     0.599156] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.599471] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.599790] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.600105] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.600402] S 4Fa 2Fa P  | KEY released/idle
[     0.798817] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.799134] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.799451] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.799748] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.800065] S 4Fa 2Fa P  | KEY released/idle
[     0.998414] S 68a 00a P  | DIG1 seg=0x00 ' '
[     0.998731] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     0.999048] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     0.999345] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[     0.999662] S 4Fa 2Fa P  | KEY released/idle
[     1.198055] S 68a 00a P  | DIG1 seg=0x00 ' '
[     1.198352] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[     1.198669] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[     1.198986] S 6Ea 00a P  | DIG4 seg=0x00 ' '
